"Bogotá, Colombia","B (Tropical), B1 (Cold Summer)"
"Quito, Ecuador","B (Tropical), B1 (Cold Summer)"
"Tórshavn, Faroe Islands (DK)","C (Subtropical), B1 (Cold Summer)"
"Adak, AK","C (Subtropical), B1 (Cold Summer)"
"Yakutsk, Russia","Y (Superarctic), B2 (Mild Summer)"
"Verkhoyansk, Russia","Y (Superarctic), B2 (Mild Summer)"
"Juneau, AK","D (Temperate), B1 (Cold Summer)"
"Andorra la Vella, Andorra","D (Temperate), B1 (Cold Summer)"
"Helsinki, Finland","D (Temperate), B1 (Cold Summer)"
"Saint-Pierre, Saint-Pierre & Miquelon (FR)","D (Temperate), B1 (Cold Summer)"
"Conception Bay South, NL","D (Temperate), B1 (Cold Summer)"
"Paradise, NL","D (Temperate), B1 (Cold Summer)"
"Inuvik, NT","F (Subarctic), B1 (Cold Summer)"
"Arviat, NU","G (Arctic), B1 (Cold Summer)"
"Baker Lake, NU","G (Arctic), B1 (Cold Summer)"
"Anchorage, AK","D (Temperate), B1 (Cold Summer)"
"Knik-Fairview, AK","D (Temperate), B1 (Cold Summer)"
"North Lakes, AK","D (Temperate), B1 (Cold Summer)"
"Meadow Lakes, AK","E (Continental), B1 (Cold Summer)"
"Wasilla, AK","D (Temperate), B1 (Cold Summer)"
"Tanaina, AK","D (Temperate), B1 (Cold Summer)"
"Kalifornsky, AK","E (Continental), B1 (Cold Summer)"
"Sitka, AK","D (Temperate), B1 (Cold Summer)"
"Ketchikan, AK","D (Temperate), B1 (Cold Summer)"
"Kenai, AK","E (Continental), B1 (Cold Summer)"
"Bethel, AK","E (Continental), B1 (Cold Summer)"
"Sterling, AK","D (Temperate), B1 (Cold Summer)"
"Palmer, AK","E (Continental), B1 (Cold Summer)"
"Gateway, AK","E (Continental), B1 (Cold Summer)"
"Tuktoyaktuk, NT","F (Subarctic), B1 (Cold Summer)"
"Prudhoe Bay, AK","G (Arctic), B1 (Cold Summer)"
"Reykjavík, Iceland","C (Subtropical), C2 (Very Cold Summer)"
"Stanley, Falkland Islands (UK)","C (Subtropical), C2 (Very Cold Summer)"
"Ushuaia, Argentina","C (Subtropical), C2 (Very Cold Summer)"
Macquarie Island Research Station,"C (Subtropical), C2 (Very Cold Summer)"
"Ust-Nera, Russia","Y (Superarctic), B1 (Cold Summer)"
"Nuuk, Greenland (DK)","D (Temperate), C2 (Very Cold Summer)"
"Tuktoyaktuk, NT","F (Subarctic), C2 (Very Cold Summer)"
"Iqaluit, NU","F (Subarctic), C2 (Very Cold Summer)"
"Rankin Inlet, NU","G (Arctic), C2 (Very Cold Summer)"
"Cambridge Bay, NU","G (Arctic), C2 (Very Cold Summer)"
"West Taijinar Lake, China","E (Continental), C2 (Very Cold Summer)"
"Longyearbyen, Svalbard & Jan Mayen (NO)","E (Continental), C1 (Freezing Summer)"
"Pangnirtung, NU","F (Subarctic), C1 (Freezing Summer)"
"Coral Harbour, NU","F (Subarctic), C1 (Freezing Summer)"
