"Verkhoyansk, Russia","Y (Superarctic), B2 (Mild Summer)"
"Stanley, Falkland Islands (UK)","C (Subtropical), C2 (Very Cold Summer)"
"Ushuaia, Argentina","C (Subtropical), C2 (Very Cold Summer)"
Macquarie Island Research Station,"C (Subtropical), C2 (Very Cold Summer)"
"Ust-Nera, Russia","Y (Superarctic), B1 (Cold Summer)"
"Nuuk, Greenland (DK)","D (Temperate), C2 (Very Cold Summer)"
"Iqaluit, NU","F (Subarctic), C2 (Very Cold Summer)"
"Igloolik, NU","F (Subarctic), C2 (Very Cold Summer)"
"Eureka Research Station, NU","G (Arctic), C2 (Very Cold Summer)"
"Wainwright, AK","F (Subarctic), C2 (Very Cold Summer)"
"Utqiagvik, AK","F (Subarctic), C2 (Very Cold Summer)"
Bird Island Research Station,"C (Subtropical), C1 (Freezing Summer)"
"Longyearbyen, Svalbard & Jan Mayen (NO)","E (Continental), C1 (Freezing Summer)"
"Pangnirtung, NU","F (Subarctic), C1 (Freezing Summer)"
"Qikiqtarjuaq, NU","F (Subarctic), C1 (Freezing Summer)"
"Isachsen Research Station, NU","G (Arctic), C1 (Freezing Summer)"
Heard Island and McDonald Islands,"D (Temperate), C1 (Freezing Summer)"
"Chandrapur, India","A (Supertropical), W (Monsoon), Z2 (Hyperthermal Summer)"
"N'Djamena, Chad","A (Supertropical), D (Arid Desert), Z2 (Hyperthermal Summer)"
"Niamey, Niger","A (Supertropical), D (Arid Desert), Z2 (Hyperthermal Summer)"
"Khartoum, Sudan","A (Supertropical), D (Arid Desert), Z2 (Hyperthermal Summer)"
"Dubai, United Arab Emirates","A (Supertropical), D (Arid Desert), Z2 (Hyperthermal Summer)"
"Bourem, Mali","A (Supertropical), D (Arid Desert), Z2 (Hyperthermal Summer)"
"Manila, Philippines","A (Supertropical), G (Semihumid), Z1 (Scorching Hot Summer)"
"Ho Chi Minh City, Vietnam","A (Supertropical), G (Semihumid), Z1 (Scorching Hot Summer)"
"Phnom Penh, Cambodia","A (Supertropical), G (Semihumid), Z1 (Scorching Hot Summer)"
