"Bogotá, Colombia","B (Tropical), B1 (Cold Summer)",2,3
"Abbotsford, BC","C (Subtropical), M (Mediterranean), B2 (Mild Summer)","C (Subtropical), M (Mediterranean), B2 (Mild Summer)","C (Subtropical), H (Humid), A2 (Very Hot Summer)"
"Abuja, Nigeria","A (Supertropical), W (Monsoon), A2 (Very Hot Summer)","A (Supertropical), S (Semiarid), A2 (Very Hot Summer)","A (Supertropical), D (Arid Desert), Z1 (Scorching Hot Summer)"
"Accra, Ghana","A (Supertropical), S (Semiarid), A2 (Very Hot Summer)","A (Supertropical), H (Humid), A1 (Hot Summer)","A (Supertropical), H (Humid), A2 (Very Hot Summer)"
"Adak, AK","C (Subtropical), B1 (Cold Summer)","C (Subtropical), C2 (Very Cold Summer)","E (Continental), C2 (Very Cold Summer)"
"Adamstown, Pitcairn Islands (UK)","A (Supertropical), H (Humid), A1 (Hot Summer)","B (Tropical), S (Semiarid), Z1 (Scorching Hot Summer)","A (Supertropical), D (Arid Desert), A2 (Very Hot Summer)"
"Addis Ababa, Ethiopia","B (Tropical), W (Monsoon), B2 (Mild Summer)","C (Subtropical), H (Humid), A2 (Very Hot Summer)","B (Tropical), D (Arid Desert), A2 (Very Hot Summer)"
"Aksu City, China","D (Temperate), D (Arid Desert), A1 (Hot Summer)","D (Temperate), G (Semihumid), A1 (Hot Summer)","C (Subtropical), M (Mediterranean), A1 (Hot Summer)"
"Albany, NY","D (Temperate), H (Humid), A1 (Hot Summer)","D (Temperate), H (Humid), A1 (Hot Summer)","C (Subtropical), S (Semiarid), A2 (Very Hot Summer)"
"Algiers, Algeria","B (Tropical), M (Mediterranean), A1 (Hot Summer)","B (Tropical), D (Arid Desert), A1 (Hot Summer)","B (Tropical), W (Monsoon), A2 (Very Hot Summer)"
"Alofi, Niue (NZ)","A (Supertropical), H (Humid), A2 (Very Hot Summer)","A (Supertropical), G (Semihumid), A2 (Very Hot Summer)","A (Supertropical), S (Semiarid), Z1 (Scorching Hot Summer)"
"Amherst, NS","D (Temperate), H (Humid), B2 (Mild Summer)","D (Temperate), H (Humid), B2 (Mild Summer)","C (Subtropical), M (Mediterranean), B2 (Mild Summer)"
"Amman, Jordan","C (Subtropical), D (Arid Desert), A1 (Hot Summer)","C (Subtropical), M (Mediterranean), A1 (Hot Summer)","C (Subtropical), S (Semiarid), Z1 (Scorching Hot Summer)"
"Amsterdam, Netherlands","C (Subtropical), H (Humid), B2 (Mild Summer)","C (Subtropical), S (Semiarid), A1 (Hot Summer)","C (Subtropical), S (Semiarid), Z1 (Scorching Hot Summer)"
"Anchorage, AK","D (Temperate), B1 (Cold Summer)","G (Arctic), C1 (Freezing Summer)","Z (Ultratropical), H (Humid), Z1 (Scorching Hot Summer)"
