Location,Winter,Aridity,Summer
Macquarie Island Research Station,C ,,C2 
Bird Island Research Station,C ,,C2 
"Pangnirtung, NU",E ,,C2 
"Isachsen Research Station, NU",E ,,C2 
Heard Island and McDonald Islands,D ,,C2 
"Concordia Research Station, Antarctica",Y ,,C2 
"Pond Inlet, NU",F ,,C1 
"Primavera Research Station, Antarctica",D ,,C1 
"McMurdo Research Station, Antarctica",F ,,C1 
"Davis Research Station, Antarctica",E ,,C1 
"Casey Research Station, Antarctica",E ,,C1 
"Svea Research Station, Antarctica",F ,,C1 
"N'Djamena, Chad",Z ,D ,X1 
"Niamey, Niger",Z ,D ,X1 
"Khartoum, Sudan",Z ,D ,X1 
"Bangkok, Thailand",Z ,S ,Z2 
"Phnom Penh, Cambodia",Z ,S ,Z2 
"Juba, South Sudan",Z ,S ,Z2 
"Ouagadougou, Burkina Faso",Z ,D ,Z2 
"Bamako, Mali",Z ,D ,Z2 
"Bandar Seri Begawan, Brunei",Z ,H ,Z1 
"Majuro, Marshall Islands",Z ,H ,Z1 
"Ngerulmud, Palau",Z ,H ,Z1 
"Funafuti, Tuvalu",Z ,H ,Z1 
"Hagåtña, Guam ",Z ,H ,Z1 
"Saipan, Northern Mariana Islands ",Z ,H ,Z1 
"Jakarta, Indonesia",Z ,G ,Z1 
"Manila, Philippines",Z ,G ,Z1 
"Kuala Lumpur, Malaysia",Z ,G ,Z1 
"Tarawa, Kiribati",Z ,G ,Z1 
"Panama City, Panama",Z ,G ,Z1 
"Port Moresby, Papua New Guinea",Z ,G ,Z1 
"Singapore, Singapore",Z ,G ,Z1 
"Sri Jayawardenepura Kotte, Sri Lanka",Z ,G ,Z1 
"Nukunonu, Tokelau ",Z ,G ,Z1 
"Bissau, Guinea-Bissau",Z ,W ,Z1 
"Ho Chi Minh City, Vietnam",Z ,S ,Z1 
"Lagos, Nigeria",Z ,S ,Z1 
"Porto-Novo, Benin",Z ,S ,Z1 
"Georgetown, Guyana",Z ,S ,Z1 
"Managua, Nicaragua",Z ,S ,Z1 
"Paramaribo, Suriname",Z ,S ,Z1 
"Banjul, Gambia",Z ,D ,Z1 
"Mogadishu, Somalia",Z ,D ,Z1 
"Willemstad, Curaçao ",Z ,D ,Z1 
"Chandrapur, India",A ,W ,X1 
"Kota, India",A ,W ,X1 
"Manama, Bahrain",A ,D ,X1 
"Kuwait City, Kuwait",A ,D ,X1 
"Doha, Qatar",A ,D ,X1 
"Riyadh, Saudi Arabia",A ,D ,X1 
"Dubai, United Arab Emirates",A ,D ,X1 
"Bourem, Mali",A ,D ,X1 
"Delhi, India",A ,W ,Z2 
"Mumbai, India",A ,W ,Z2 
"Kolkata, India",A ,W ,Z2 
"Hyderabad, India",A ,W ,Z2 
"Naypyidaw, Myanmar",A ,W ,Z2 
"Hanoi, Vietnam",A ,W ,Z2 
"Chennai, India",A ,M ,Z2 
"Karachi, Pakistan",A ,D ,Z2 
"Djibouti, Djibouti",A ,D ,Z2 
"Muscat, Oman",A ,D ,Z2 
"Monrovia, Liberia",A ,H ,Z1 
"Yaren, Nauru",A ,H ,Z1 
"Apia, Samoa",A ,H ,Z1 
"Yaoundé, Cameroon",A ,G ,Z1 
"Libreville, Gabon",A ,G ,Z1 
"Malé, Maldives",A ,G ,Z1 
"Victoria, Seychelles",A ,G ,Z1 
"Hamilton, Bermuda ",A ,G ,Z1 
"Brades, Montserrat ",A ,G ,Z1 
"Guangzhou–Foshan, China",A ,W ,Z1 
"Dhaka, Bangladesh",A ,W ,Z1 
"Shenzhen, China",A ,W ,Z1 
"Dongguan, China",A ,W ,Z1 
"Brasília, Brazil",A ,W ,Z1 
"Conakry, Guinea",A ,W ,Z1 
"Vientiane, Laos",A ,W ,Z1 
"Lilongwe, Malawi",A ,W ,Z1 
"Abuja, Nigeria",A ,W ,Z1 
"Lusaka, Zambia",A ,W ,Z1 
"Kingston, Jamaica",A ,M ,Z1 
"Trincomalee, Sri Lanka",A ,M ,Z1 
"Bangalore, India",A ,S ,Z1 
"Kinshasa, DR Congo",A ,S ,Z1 
"Rio de Janeiro, Brazil",A ,S ,Z1 
"Miami–Fort Lauderdale, FL",A ,S ,Z1 
"Tampa–St. Petersburg, FL",A ,S ,Z1 
"Orlando, FL",A ,S ,Z1 
"San Juan, PR",A ,S ,Z1 
"St. John's, Antigua and Barbuda",A ,S ,Z1 
"Nassau, Bahamas",A ,S ,Z1 
"Bridgetown, Barbados",A ,S ,Z1 
"Belmopan, Belize",A ,S ,Z1 
"Bangui, Central African Republic",A ,S ,Z1 
"Brazzaville, Congo",A ,S ,Z1 
"Yamoussoukro, Côte d'Ivoire",A ,S ,Z1 
"Havana, Cuba",A ,S ,Z1 
"Santo Domingo, Dominican Republic",A ,S ,Z1 
"San Salvador, El Salvador",A ,S ,Z1 
