Macquarie Island Research Station,"C (Subtropical), C2 (Very Cold Summer)"
Bird Island Research Station,"C (Subtropical), C2 (Very Cold Summer)"
"Pangnirtung, NU","E (Continental), C2 (Very Cold Summer)"
"Isachsen Research Station, NU","E (Continental), C2 (Very Cold Summer)"
Heard Island and McDonald Islands,"D (Temperate), C2 (Very Cold Summer)"
"N'Djamena, Chad","Z (Ultratropical), D (Arid Desert), X1 (Extreme Hyperthermal Summer)"
"Niamey, Niger","Z (Ultratropical), D (Arid Desert), X1 (Extreme Hyperthermal Summer)"
"Khartoum, Sudan","Z (Ultratropical), D (Arid Desert), X1 (Extreme Hyperthermal Summer)"
"Mumbai, India","Z (Ultratropical), W (Monsoon), Z2 (Hyperthermal Summer)"
"Bangkok, Thailand","Z (Ultratropical), S (Semiarid), Z2 (Hyperthermal Summer)"
"Phnom Penh, Cambodia","Z (Ultratropical), S (Semiarid), Z2 (Hyperthermal Summer)"
"Juba, South Sudan","Z (Ultratropical), S (Semiarid), Z2 (Hyperthermal Summer)"
"Ouagadougou, Burkina Faso","Z (Ultratropical), D (Arid Desert), Z2 (Hyperthermal Summer)"
"Bamako, Mali","Z (Ultratropical), D (Arid Desert), Z2 (Hyperthermal Summer)"
"Bandar Seri Begawan, Brunei","Z (Ultratropical), H (Humid), Z1 (Scorching Hot Summer)"
"Ngerulmud, Palau","Z (Ultratropical), H (Humid), Z1 (Scorching Hot Summer)"
"Hagåtña, Guam (US)","Z (Ultratropical), H (Humid), Z1 (Scorching Hot Summer)"
"Saipan, Northern Mariana Islands (US)","Z (Ultratropical), H (Humid), Z1 (Scorching Hot Summer)"
"Jakarta, Indonesia","Z (Ultratropical), G (Semihumid), Z1 (Scorching Hot Summer)"
"Manila, Philippines","Z (Ultratropical), G (Semihumid), Z1 (Scorching Hot Summer)"
"Kuala Lumpur, Malaysia","Z (Ultratropical), G (Semihumid), Z1 (Scorching Hot Summer)"
"Tarawa, Kiribati","Z (Ultratropical), G (Semihumid), Z1 (Scorching Hot Summer)"
"Majuro, Marshall Islands","Z (Ultratropical), G (Semihumid), Z1 (Scorching Hot Summer)"
"Panama City, Panama","Z (Ultratropical), G (Semihumid), Z1 (Scorching Hot Summer)"
"Port Moresby, Papua New Guinea","Z (Ultratropical), G (Semihumid), Z1 (Scorching Hot Summer)"
"Singapore, Singapore","Z (Ultratropical), G (Semihumid), Z1 (Scorching Hot Summer)"
"Sri Jayawardenepura Kotte, Sri Lanka","Z (Ultratropical), G (Semihumid), Z1 (Scorching Hot Summer)"
"Bissau, Guinea-Bissau","Z (Ultratropical), W (Monsoon), Z1 (Scorching Hot Summer)"
"Ho Chi Minh City, Vietnam","Z (Ultratropical), S (Semiarid), Z1 (Scorching Hot Summer)"
"Lagos, Nigeria","Z (Ultratropical), S (Semiarid), Z1 (Scorching Hot Summer)"
"Porto-Novo, Benin","Z (Ultratropical), S (Semiarid), Z1 (Scorching Hot Summer)"
"Georgetown, Guyana","Z (Ultratropical), S (Semiarid), Z1 (Scorching Hot Summer)"
"Managua, Nicaragua","Z (Ultratropical), S (Semiarid), Z1 (Scorching Hot Summer)"
"Paramaribo, Suriname","Z (Ultratropical), S (Semiarid), Z1 (Scorching Hot Summer)"
"Banjul, Gambia","Z (Ultratropical), D (Arid Desert), Z1 (Scorching Hot Summer)"
"Mogadishu, Somalia","Z (Ultratropical), D (Arid Desert), Z1 (Scorching Hot Summer)"
"Willemstad, Curaçao (NL)","Z (Ultratropical), D (Arid Desert), Z1 (Scorching Hot Summer)"
"Chandrapur, India","A (Supertropical), W (Monsoon), X1 (Extreme Hyperthermal Summer)"
"Kota, India","A (Supertropical), W (Monsoon), X1 (Extreme Hyperthermal Summer)"
"Manama, Bahrain","A (Supertropical), D (Arid Desert), X1 (Extreme Hyperthermal Summer)"
"Kuwait City, Kuwait","A (Supertropical), D (Arid Desert), X1 (Extreme Hyperthermal Summer)"
"Doha, Qatar","A (Supertropical), D (Arid Desert), X1 (Extreme Hyperthermal Summer)"
"Riyadh, Saudi Arabia","A (Supertropical), D (Arid Desert), X1 (Extreme Hyperthermal Summer)"
"Dubai, United Arab Emirates","A (Supertropical), D (Arid Desert), X1 (Extreme Hyperthermal Summer)"
"Bourem, Mali","A (Supertropical), D (Arid Desert), X1 (Extreme Hyperthermal Summer)"
"Delhi, India","A (Supertropical), W (Monsoon), Z2 (Hyperthermal Summer)"
"Kolkata, India","A (Supertropical), W (Monsoon), Z2 (Hyperthermal Summer)"
"Naypyidaw, Myanmar","A (Supertropical), W (Monsoon), Z2 (Hyperthermal Summer)"
"Abuja, Nigeria","A (Supertropical), W (Monsoon), Z2 (Hyperthermal Summer)"
"Hanoi, Vietnam","A (Supertropical), W (Monsoon), Z2 (Hyperthermal Summer)"
"Chennai, India","A (Supertropical), M (Mediterranean), Z2 (Hyperthermal Summer)"
